ts	phase	decision	why	evidence	result
2026-08-19T21:24:59Z	control	accepted the engineer declaring the temporary control as a manifest leaf rather than a registry row	PARAMETER_ROWS is frozen as const read through module level maps, so adding a row from a test needs a production injection seam existing only for the test, which is a worse defect than the one it fixes	row to leaf proven in manifest.test.mjs, leaf to adapters in adapter-neutrality.test.mjs; the two compose into the claim and neither alone is the proof	accepted with the composition recorded
2026-08-19T21:24:59Z	control	dropped the MCP address enum, measured at 1647 entries and 43946 bytes appearing in two tools, so tools/list carried about 88KB	a tool schema that size is paid by every client on every tools/list whether or not anything audioface related happens; the enum bought discoverability and at that size destroyed it	six tool payload now 5419 bytes verified by hand, six tools equal to the operation count	fixed
2026-08-19T21:24:59Z	control	describe_controls is the discovery path, making all three adapters one shape	controls <target> in the CLI, GET /targets/:id over HTTP, describe_controls over MCP; the neutrality test then asserts one property three ways rather than two shapes and a schema	63e8ac9	accepted
2026-08-19T21:24:59Z	control	ControlRequest and ControlOutcome moved to the contract at the rule of three, requestControl to control	the third adapter made the request plumbing a rule of three; every adapter is now transport shape in and outcome rendering out	adapters/cli/src/cli.ts is 14 lines	accepted
2026-08-19T21:24:59Z	process	engineer self reported reverting a falsification with git checkout -- while the commit was still uncommitted, discarding work mid run, and changed the ordering to commit then perturb	the same class of error the orchestrator caused earlier in this session with an orphaned harness; the lesson now lives in the engineer practice rather than in one person memory	caught on the restored step showing red, reapplied, re-ran every falsification against the committed tree	lesson encoded
2026-08-19T21:55:52Z	hardening	slice D landed: 28110bc pnpm catalog, 1626604 dependency floor, 288a5d7 TypeScript 7.0.2 native, cd5068c oxlint plus oxfmt, 65ef7d5 the formatting sweep	check now runs five gates: typecheck, test, lint, format:check, verify:structure	verified independently, tsc --version reports 7.0.2 and check exits 0 with a clean tree	accepted
2026-08-19T21:55:52Z	hardening	TypeScript 7 does not weaken boundary enforcement, re-proved by the orchestrator rather than taken on report	a forbidden package edge fails TS2307 and a relative escape fails TS2878 under 7.0.2, with the tree restored clean and green either side	perturbation run against adapters/cli/src/cli.ts	verified
2026-08-19T21:55:52Z	hardening	TypeScript 7 exports no JavaScript compiler API, so verify-structure.mjs reads imports through oxc-parser instead	the unstable project bound API cannot see the .mjs files under scripts/ and test/; oxc-parser is the same grammar oxlint already uses, so the tree has one parser rather than two	proved equivalent on a tree carrying six violations including a class method and a get accessor, byte identical findings	accepted
2026-08-19T21:55:52Z	hardening	file and function size limits moved from verify-structure.mjs to oxlint max-lines and max-lines-per-function	the check existed in two engines; the linter owns it and verify-structure.mjs dropped 71 lines and its AST walk	verified: a 163 line function fails oxlint at the 150 limit	accepted
2026-08-19T21:55:52Z	hardening	one lint engine and one formatter, oxlint 1.79.0 plus oxfmt 0.64.0, biome not adopted	biome overlaps both, and two rule engines producing overlapping diagnostics is the duplication this session has been removing	every disabled rule in .oxlintrc.json carries its reason	accepted
2026-08-19T21:55:52Z	hardening	switch-exhaustiveness-check left off deliberately	it is type aware and does nothing without a separate tsgolint binary, while assertNever already fails the build on an unhandled case	.oxlintrc.json	accepted
2026-08-19T21:55:52Z	hardening	two upgrades declined and reported rather than taken: meyda 6 is beta only, pnpm 11 is a toolchain swap on a global install with no corepack	pnpm outdated showed only typescript behind, so commit 18 was a one line floor raise	1626604	accepted
2026-08-19T21:55:52Z	hardening	three oxfmt-ignore directives in registry/parameters.ts	the file holds row tables one record per line and reflowing at 100 columns turned 99 lines into 367; the escape is confined to the three tables	packages/patch/src/registry/parameters.ts:18,82,97	accepted
2026-08-19T21:55:52Z	hardening	the format gate landed in commit 21 with the sweep rather than commit 20 with the config	wiring oxfmt --check before the sweep makes 20 red, and sweeping in 20 empties 21; the sweep was proved inert by comparing parse trees across 32 changed files, 0 differing	65ef7d5	accepted
2026-08-19T22:21:04Z	review	justify or reverse review run blind on two model families, Grok 4.6 xhigh and GPT-5.6 Sol xhigh, neither aware of the other and neither the author of the choices	asking the engineer to justify its own decisions is not a review; reviews at justify-review-grok.md and justify-review-gpt.md	both at 65ef7d5	complete
2026-08-19T22:21:04Z	review	unanimous KEEP on node http with no framework, hand parsed CLI argv, TypeScript with no emit, and node:test	settled, not revisited; each KEEP carries its expiry condition, and the sharpest is that the CLI parser has no flag syntax at all so a flag per parameter is ungrammatical rather than merely discouraged	adapters/cli/src/command.ts:18	settled
2026-08-19T22:21:04Z	review	both reviews independently found the same defect outside the five questions: no engines floor	every bin points at TypeScript source and the tree depends on Node type stripping, yet the version contract is unstated, so it fails on an older Node with no useful message	root package.json declares packageManager but no engines	fixing, floor to be established empirically rather than from memory
2026-08-19T22:21:04Z	review	split on the MCP adapter: grok KEEP on dependency purity, gpt CHANGE on a duplicated protocol contract; taking CHANGE	tool.ts hand mirrors a subset of the SDK Tool type and publishes enum and additionalProperties constraints dispatch.ts does not enforce, so the advertised schema and the accepted arguments can diverge; that is the same defect shape as the CLI owning rules control already owned	adapters/mcp/src/tool.ts:7-22 and :58-65 against dispatch.ts:84-89	CHANGE taken
2026-08-19T22:21:04Z	review	the purity argument for keeping the MCP schema by hand does not survive the record	the foundation decision says adapters are packages precisely because their platform dependencies differ, so an MCP adapter depending on the MCP SDK is the intended shape; and apps/mcp already owns protocol handlers on the deprecated low level Server with one line of transport, so the split is violated in the other direction	~/.mdx/design/audioface-foundation-decision.md, apps/mcp/src/main.ts:4-15	CHANGE taken
2026-08-19T22:21:04Z	review	corrected my own control surface spec: z.enum(manifest.addresses()) was wrong twice	1647 leaf occurrences at 43946 bytes in two tools was the symptom; the cause is that an address is an instance path carrying layer and processor ids, with only 95 unique strings, so an enum spanning targets advertises addresses another patch owns	found by grok, inherited from a candidate that modelled addresses as flat catalog keys	spec corrected
2026-08-19T22:21:04Z	review	two smaller defects found by gpt and taken: apps/http buffers an unlimited body with no aborted or error handler, and the CLI silently ignores trailing arguments after controls	both are app and adapter level bugs neither review used to argue for a framework	apps/http/src/main.ts:11-18, adapters/cli/src/command.ts:19-23	fixing
2026-08-19T22:21:04Z	review	recorded and not acted on: the .mjs tests sit outside package tsconfig includes so fixture shapes get no static checking	gpt explicitly said convert a test to TypeScript only when that omission produces a real failure rather than preemptively, which matches the standing testing posture	packages/control/tsconfig.json:7	deferred deliberately
2026-08-19T22:51:51Z	engine	the no per adapter work claim is proven with real rows: 541e642 is 13 files, 118 insertions, every one under packages/, zero under adapters/ or apps/	AMP-07 sustain and AMP-08 release render in the CLI with no adapter change, confirmed by hand rather than from the stat	git show --stat 541e642, audioface controls output	proven
2026-08-19T22:51:51Z	engine	VoiceLifetime is a union in which a held voice carries no endFrame field at all	inventing a secret end fails at TS2322, so the state is unrepresentable rather than checked; beginVoice also throws when the declared sustaining flag disagrees with the actual envelope, which enforces the control against signal separation	packages/contract/src/voice.ts, packages/engine/src/voice-lifetime.ts	accepted
2026-08-19T22:51:51Z	engine	both defects carried since the arena closed in one seven line deletion, f3d2115	ResolvedPatch.durationMs was read by nothing, so the second answer to the duration question had no consumers; VoiceLifetime.durationFrames is the single answer and is null for a held voice	packages/contract/src/resolved.ts and packages/patch/src/patch-resolution.ts	closed
2026-08-19T22:51:51Z	engine	authoredLifeFrames needed no change: it is already max over layers of delayFrames plus lifeFrames, the derived TIM-01 shape rather than the max only shape deleted	verified empirically across all 23 canonical patches rather than by reading, and 8 of the 23 were shortened by the max only answer, which is the size of the disagreement the deleted field carried	commit 27 lifetime test turns red under the max only perturbation	verified
2026-08-19T22:51:51Z	engine	listener rows sit under the trigger root so they do not appear in a patch manifest, correctly, since they are per voice state rather than patch state	they await a trigger target, which is a deliberate future decision rather than a silent gap, matching how output scope rows were already handled	packages/patch/src/registry/listener.ts	deferred deliberately
